term	contrast	null.value	estimate	std.error	statistic	adj.p.value
Family	QUDO_10 - QUDO_1	0	-10.490439024390486	4.524941432891237	-2.3183590727024197	0.3086823232110414
Family	QUDO_2 - QUDO_1	0	-14.370719512195386	4.524941432891188	-3.1758907215321215	0.02291417646109517
Family	QUDO_5 - QUDO_1	0	5.625121951219518	4.524941432891104	1.2431369631287095	1
Family	QUDO_7 - QUDO_1	0	-16.903882113820895	4.524941432891117	-3.7357129069006563	0.0029249979666057246
Family	QUDO_9 - QUDO_1	0	-15.879674796747862	4.524941432891121	-3.5093658188194183	0.0069595022363899695
Family	QUDO_2 - QUDO_10	0	-3.8802804878048995	4.524941432891152	-0.8575316488296832	1
Family	QUDO_5 - QUDO_10	0	16.115560975610006	4.524941432891131	3.5614960358311762	0.005723793105649744
Family	QUDO_7 - QUDO_10	0	-6.413443089430409	4.52494143289114	-1.417353834198168	1
Family	QUDO_9 - QUDO_10	0	-5.389235772357376	4.524941432891141	-1.1910067461169342	1
Family	QUDO_5 - QUDO_2	0	19.995841463414905	4.524941432891119	4.419027684660875	1.6063994110582236e-4
Family	QUDO_7 - QUDO_2	0	-2.5331626016255093	4.5249414328911275	-0.5598221853684837	1
Family	QUDO_9 - QUDO_2	0	-1.508955284552476	4.524941432891128	-0.3334750972872497	1
Family	QUDO_7 - QUDO_5	0	-22.529004065040414	4.524941432891116	-4.9788498700293635	1.0834607664378382e-5
Family	QUDO_9 - QUDO_5	0	-21.50479674796738	4.524941432891118	-4.7525027819481265	3.3364612889164036e-5
Family	QUDO_9 - QUDO_7	0	1.0242073170730333	4.524941432891139	0.22634708808123344	1
