Contig,Gene,log2-fold change (after/before drought),TAIR or Pfam ID,Symbol,Protein product of domain type
m01oak28614cI,m01oak28614cI-t01.1,15.55,AT3G07970,QRT2,Pectin lyase-like superfamily protein
m01oak81369Cz,,13.61,,,
m01oak65585Cz,,13.42,,,
m01oak69360Cz,,13.26,,,
m01oak65746Cz,,13.18,,,
m01oak51706cC,m01oak51706cC-t01.1,12.10,F:PF02485,Branch,Core-2/I-Branching enzyme
m01oak81543cF,m01oak81543cF-t01.1,12.10,F:PF01094,ANF_receptor,Receptor family ligand binding region
m01oak40559cC,,11.77,,,
m01oak39486Cz,,11.64,,,
m01oak72629ci,,11.51,,,
m01oak76091CI,m01oak76091CI-t01.1,11.43,D:PF01565,FAD_binding_4,FAD binding domain
m01oak69661CF,m01oak69661CF-t01.1,11.32,F:PF00083 F:PF07690,Sugar_tr MFS_1,Sugar (and other) transporter ~ Major Facilitator Superfamily
m01oak78009Cz,,11.17,,,
m01oak81043Cz,,11.16,,,
m01oak68892JC,,11.12,,,
m01oak72979Cz,,11.06,,,
m01oak70212Cz,,11.06,,,
m01oak55922ci,m01oak55922ci-t01.1,11.02,r:PF13516 r:PF13855 r:PF00560,2x:LRR_6 2x:LRR_8 3x:LRR_1,Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak62965cC,,10.92,,,
m01oak35590CC,m01oak35590CC-t01.1,10.79,F:PF14226 D:PF03171,DIOX_N 2OG-FeII_Oxy,non-haem dioxygenase in morphine synthesis N-terminal ~ 2OG-Fe(II) oxygenase superfamily
m01oak37155Cz,,10.76,,,
m01oak31894Ct,m01oak31894Ct-t01.1,10.75,r:PF13504 r:PF13516 r:PF13855 r:PF00560,LRR_7 2x:LRR_6 LRR_8 2x:LRR_1,Leucine rich repeat ~ Leucine Rich repeat ~ Leucine rich repeat ~ Leucine Rich Repeat
m01oak40443Cz,,10.74,,,
m01oak79708Cz,,10.56,,,
m01oak55432CI,m01oak55432CI-t01.1,10.51,D:PF00264,Tyrosinase,Common central domain of tyrosinase
m01oak62985CT,,10.41,,,
m01oak65295Ct,,10.33,,,
m01oak27328CC,m01oak27328CC-t01.1,10.32,F:PF14368,LTP_2,Probable lipid transfer
m01oak70358Cz,,10.30,,,
m01oak28560Cz,,10.27,,,
m01oak72515Cz,,10.15,,,
m01oak33051CC,m01oak33051CC-t01.1,10.12,AT3G53040,,"late embryogenesis abundant protein, putative / LEA protein, putative"
m01oak64262CT,m01oak64262CT-t01.1,10.12,AT3G10020,,unknown protein
m01oak29763Cz,,10.05,,,
m01oak54906Cz,,10.00,,,
m01oak32623cf,m01oak32623cf-t01.1,9.95,F:PF00888,Cullin,Cullin family
m01oak70661Cz,,9.95,,,
m01oak70510Cz,,9.93,,,
m01oak62936Cz,,9.92,,,
m01oak46914Cz,,9.89,,,
m01oak45828Cz,,9.87,,,
m01oak03733Ct,,9.81,,,
m01oak43918cC,m01oak43918cC-t01.1,9.81,F:PF03195,DUF260,Protein of unknown function DUF260
m01oak63227Cz,,9.79,,,
m01oak63996CC,m01oak63996CC-t01.1,9.77,F:PF08458 F:PF05703,PH_2 Auxin_canalis,Plant pleckstrin homology-like region ~ Auxin canalisation
m01oak12455Cz,,9.75,,,
m01oak79681Cz,,9.73,,,
m01oak44920Ct,m01oak44920Ct-t01.1,9.72,D:PF12143 D:PF12142 D:PF00264,PPO1_KFDV PPO1_DWL Tyrosinase,Protein of unknown function (DUF_B2219) ~ Polyphenol oxidase middle domain ~ Common central domain of tyrosinase
m01oak47312CF,m01oak47312CF-t01.1,9.71,F:PF00282,Pyridoxal_deC,Pyridoxal-dependent decarboxylase conserved domain
m01oak55618Cz,,9.68,,,
m01oak50509cC,,9.67,,,
m01oak44504Jf,m01oak44504Jf-t01.1,9.63,D:PF00069 D:PF07714,Pkinase Pkinase_Tyr,Protein kinase domain ~ Protein tyrosine kinase
m01oak24110Cz,,9.62,,,
m01oak67404Cz,,9.60,,,
m01oak45551Cz,,9.58,,,
m01oak74602Cz,m01oak74602Cz-t01.1,9.58,AT5G57510,,unknown protein
m01oak48608CC,m01oak48608CC-t01.1,9.57,AT3G20340,,unknown protein
m01oak50408CC,m01oak50408CC-t01.1,9.53,F:PF01764,Lipase_3,Lipase (class 3)
m01oak27151cf,m01oak27151cf-t01.1,9.52,F:PF04654,DUF599,"Protein of unknown function, DUF599"
m01oak15829Cz,,9.52,,,
m01oak54442CT,,9.52,,,
m01oak74987Cz,,9.50,,,
m01oak24076Cz,,9.49,,,
